Positive,Negative
beauty,bad
believe,ban
bought,crash
buy,crashing
buying,disappear
buys,dive
comeback,down
correction,fall
defeat,fraud
excellent,freefall
faith,hate
fortune,hates
gain,hell
gains,hoax
good,kill
great,killing
growing,lose
growth,losing
happy,lost
haven,low
help,meltdown
high,negative
hope,never
invest,nightmare
millionaire,outrage
oversold,overbought
plugs,overvalued 
positive,panic
progress,plunges
protect,ponzi
push,poor
rally,risk
rebound,rout
recover,sad
recovery,scam
remedies,scheme
repair,scrutiny
reward,sell
rich,selloff
rise,sell-off
rises,sells
safe,sinks
save,slides
stabilize,slump
success,sold
successful,steal
surge,stealing
transparent,struggles
undervalued,tanks
up,tumbles
welcomes,violent
win,worse
winning,worst
